,id,name,latitude,longitude,capacity,num_bikes_available,num_bikes_disabled
238,3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104,25,13,0
239,494,W 26 St & 8 Ave,40.74734825,-73.99723551,35,3,1
240,414,Pearl St & Anchorage Pl,40.70281858,-73.98765762,24,18,2
241,303,Mercer St & Spring St,40.72362738,-73.99949601,31,17,0
242,3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,27,0,0
243,3127,9 St & 44 Rd,40.74966,-73.9521,35,31,0
244,3325,E 95 St & 3 Ave,40.7849032,-73.950503,31,9,0
245,3244,University Pl & E 8 St,40.73143724,-73.99490342,31,22,5
246,347,Greenwich St & W Houston St,40.728846,-74.008591,35,21,0
247,295,Pike St & E Broadway,40.71406667,-73.99293911,24,12,1
248,525,W 34 St & 11 Ave,40.75594159,-74.0021163,39,29,0
249,3358,Garfield Pl & 8 Ave,40.6711978,-73.97484126,25,2,0
250,478,11 Ave & W 41 St,40.76030096,-73.99884222,31,4,0
251,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,23,6,0
252,322,Clinton St & Tillary St,40.696192,-73.991218,31,8,3
253,437,Macon St & Nostrand Ave,40.68098339,-73.95004798,24,21,2
254,319,Fulton St & Broadway,40.711066,-74.009447,33,19,1
255,3300,Prospect Park West & 8 St,40.66514682,-73.97637606,25,0,1
256,513,W 56 St & 10 Ave,40.768254,-73.988639,27,4,1
257,3408,Congress St & Clinton St,40.6881529,-73.99520919,27,0,0
258,3160,Central Park West & W 76 St,40.77896784,-73.97374737,39,11,1
259,3328,W 100 St & Manhattan Ave,40.795,-73.9645,39,5,0
260,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,31,1,0
261,228,E 48 St & 3 Ave,40.7546011,-73.97187886,55,21,1
262,3069,Lorimer St & Broadway,40.70411791,-73.94818595,25,4,0
263,310,State St & Smith St,40.68926942,-73.98912867,36,23,0
264,349,Rivington St & Ridge St,40.71850211,-73.98329859,23,0,1
265,3326,Clinton St & Centre St,40.67434,-74.00194698,21,9,0
266,282,Kent Ave & S 11 St,40.70764494,-73.96841526,27,11,1
267,419,Carlton Ave & Park Ave,40.69580705,-73.97355569,23,1,0
268,143,Clinton St & Joralemon St,40.69239502,-73.99337909,24,13,3
269,229,Great Jones St,40.72743423,-73.99379025,23,23,0
270,3363,E 102 St & Park Ave,40.7904828,-73.95033068,33,30,0
271,301,E 2 St & Avenue B,40.72217444,-73.98368779,37,0,0
272,3143,5 Ave & E 78 St,40.77632142,-73.96427393,47,19,1
273,247,Perry St & Bleecker St,40.73535398,-74.00483091,20,1,1
274,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,43,2,2
275,469,Broadway & W 53 St,40.76344058,-73.98268129,57,10,0
276,449,W 52 St & 9 Ave,40.76461837,-73.98789473,31,4,1
277,3283,W 89 St & Columbus Ave,40.7882213,-73.97041561,47,0,0
278,3397,Court St & Nelson St,40.6763947,-73.99869893,25,1,0
279,3354,3 St & Prospect Park West,40.668132,-73.97363831,31,3,0
280,509,9 Ave & W 22 St,40.7454973,-74.00197139,36,7,0
281,3393,Richards St & Delavan St,40.6794327,-74.00785041,19,4,0
282,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,57,52,4
283,466,W 25 St & 6 Ave,40.74395411,-73.99144871,35,23,6
284,390,Duffield St & Willoughby St,40.69221589,-73.9842844,31,29,0
285,3249,Verona Pl & Fulton St,40.68035608,-73.9476791,19,9,0
286,254,W 11 St & 6 Ave,40.73532427,-73.99800419,31,2,0
287,3319,14 St & 5 Ave,40.666287,-73.98895053,21,7,0
288,3120,Center Blvd & Borden Ave,40.74161,-73.96044,20,7,0
289,3424,E 106 St & Lexington Ave,40.791976,-73.945993,27,24,1
290,3362,Madison Ave & E 82 St,40.7781314,-73.96069399,34,2,0
291,3082,Hope St & Union Ave,40.71167351,-73.95141312,25,0,0
292,3405,5 St & 6 Ave,40.6704836,-73.98208968,23,3,0
293,477,W 41 St & 8 Ave,40.75640548,-73.9900262,59,17,0
294,3044,Albany Ave & Fulton St,40.6800105,-73.938475,27,1,0
295,3466,W 45 St & 6 Ave,40.75668721,-73.98257732,34,24,1
296,508,W 46 St & 11 Ave,40.76341379,-73.99667444,24,21,0
297,3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,27,5,0
298,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,31,4,0
299,3165,Central Park West & W 72 St,40.77579377,-73.97620574,51,24,3
300,3002,South End Ave & Liberty St,40.711512,-74.015756,25,18,1
301,3235,E 41 St & Madison Ave,40.75216528,-73.97992194,31,8,0
302,480,W 53 St & 10 Ave,40.76669671,-73.99061728,27,2,0
303,433,E 13 St & Avenue A,40.72955361,-73.98057249,39,1,1
304,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,33,8,1
305,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,31,3,0
306,3284,E 88 St & Park Ave,40.7814107,-73.95595908,38,3,0
307,3364,Carroll St & 5 Ave,40.6751622,-73.9814832,27,0,0
308,3430,Richardson St & N Henry St,40.71907891,-73.9422369,19,0,0
309,223,W 13 St & 7 Ave,40.73781509,-73.99994661,33,10,0
310,305,E 58 St & 3 Ave,40.76095756,-73.96724467,33,25,2
311,392,Jay St & Tech Pl,40.695065,-73.987167,35,30,0
312,401,Allen St & Rivington St,40.72019576,-73.98997825,42,4,0
313,3136,5 Ave & E 63 St,40.766368,-73.971518,47,38,1
314,362,Broadway & W 37 St,40.75172632,-73.98753523,57,14,0
315,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,39,0,0
316,445,E 10 St & Avenue A,40.72740794,-73.98142006,54,2,1
317,3156,E 72 St & York Ave,40.76663814,-73.95348296,39,13,3
318,402,Broadway & E 22 St,40.7403432,-73.98955109,39,8,1
319,439,E 4 St & 2 Ave,40.7262807,-73.98978041,39,2,2
320,3093,N 6 St & Bedford Ave,40.71745169,-73.95850939,28,25,1
321,3301,Columbus Ave & W 95 St,40.7919557,-73.968087,39,0,2
322,3317,10 St & 5 Ave,40.6686273,-73.98700053,24,5,0
323,309,Murray St & West St,40.7149787,-74.013012,41,19,3
324,3309,E 97 St & 3 Ave,40.7859201,-73.94860294,30,15,0
325,291,Madison St & Montgomery St,40.713126,-73.984844,20,2,0
326,3344,Pioneer St & Van Brunt St,40.679043,-74.011169,19,6,0
327,393,E 5 St & Avenue C,40.72299208,-73.97995466,31,0,1
328,3368,5 Ave & 3 St,40.6728155,-73.98352355,30,9,1
329,3394,Columbia St & W 9 St,40.6769993,-74.00647134,21,16,2
330,150,E 2 St & Avenue C,40.7208736,-73.98085795,31,0,1
331,3232,Bond St & Fulton St,40.68962189,-73.98304269,31,13,2
332,3145,E 84 St & Park Ave,40.77862688,-73.95772073,45,5,0
333,3310,14 St & 7 Ave,40.663779,-73.98396846,24,0,0
334,3088,Union Ave & Jackson St,40.7160751,-73.952029,19,1,0
335,3139,E 72 St & Park Ave,40.77118288,-73.96409422,43,5,0
336,3083,Bushwick Ave & Powers St,40.71247661,-73.94100005,30,1,0
337,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,23,4,0
338,462,W 22 St & 10 Ave,40.74691959,-74.00451887,47,2,2
339,388,W 26 St & 10 Ave,40.74971775,-74.00295035,35,26,3
340,3137,5 Ave & E 73 St,40.77282817,-73.96685276,31,13,0
341,3140,1 Ave & E 78 St,40.77140426,-73.9535166,55,15,1
342,128,MacDougal St & Prince St,40.72710258,-74.00297088,30,25,4
343,320,Leonard St & Church St,40.717571,-74.005549,39,13,0
344,3387,E 106 St & Madison Ave,40.7934337,-73.94945003,25,21,0
345,276,Duane St & Greenwich St,40.71748752,-74.0104554,25,18,1
346,152,Warren St & Church St,40.71473993,-74.00910627,29,7,1
347,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,36,21,1
348,217,Old Fulton St,40.70277159,-73.99383605,39,20,2
349,119,Park Ave & St Edwards St,40.69608941,-73.97803415,19,7,0
350,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,23,4,1
351,3109,Banker St & Meserole Ave,40.72606,-73.95621,31,0,1
352,3345,Madison Ave & E 99 St,40.78948542,-73.95242929,35,32,1
353,293,Lafayette St & E 8 St,40.73020661,-73.99102628,55,28,1
354,259,South St & Whitehall St,40.70122128,-74.01234218,39,10,3
355,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,19,1,0
356,3423,West Drive & Prospect Park West,40.66106337,-73.97945255,29,11,1
357,3403,4 Ave & 9 St,40.6705135,-73.98876585,31,18,1
358,3255,8 Ave & W 31 St,40.75058535,-73.99468482,19,8,1
359,3391,E 106 St & 1 Ave,40.7892529,-73.93956237,25,21,0
360,2012,E 27 St & 1 Ave,40.739445,-73.976806,36,21,1
361,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,23,11,0
362,343,Clinton Ave & Flushing Ave,40.69794,-73.96986848,23,18,0
363,3118,McGuinness Blvd & Eagle St,40.73555,-73.95284,30,1,1
364,257,Lispenard St & Broadway,40.71939226,-74.00247214,39,32,1
365,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,41,2,0
366,332,Cherry St,40.71219906,-73.97948148,24,3,0
367,436,Hancock St & Bedford Ave,40.68216564,-73.95399026,27,2,1
368,311,Norfolk St & Broome St,40.7172274,-73.98802084,31,8,1
369,3348,Coffey St & Conover St,40.677236,-74.015665,19,11,2
370,251,Mott St & Prince St,40.72317958,-73.99480012,27,11,0
371,3177,W 84 St & Broadway,40.7867947,-73.977112,63,56,0
372,3179,Park Ave & Marcus Garvey Blvd,40.698617,-73.941342,23,5,1
373,3125,45 Rd & 11 St,40.74708586,-73.94977234,23,21,0
374,3164,Columbus Ave & W 72 St,40.7770575,-73.97898475,67,4,3
375,164,E 47 St & 2 Ave,40.75323098,-73.97032517,47,16,0
376,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,23,5,0
377,534,Water - Whitehall Plaza,40.70255065,-74.0127234,31,20,1
378,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,39,6,2
379,297,E 15 St & 3 Ave,40.734232,-73.986923,27,6,0
380,3282,5 Ave & E 88 St,40.78307,-73.95939,38,5,0
381,412,Forsyth St & Canal St,40.7158155,-73.99422366,29,3,1
382,282,Kent Ave & S 11 St,40.70764494,-73.96841526,27,11,1
383,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,23,7,1
384,3178,Riverside Dr & W 78 St,40.78414472,-73.98362492,39,2,1
385,3361,Carroll St & 6 Ave,40.6740886,-73.9787282,23,1,0
